Instrument,Date,Time,Open,High,Low,Close
Banknifty,01-06-2001,0:00:00,1021.04,1021.04,1021.04,1021.04
Banknifty,04-06-2001,0:00:00,1012.14,1012.14,1012.14,1012.14
Banknifty,05-06-2001,0:00:00,998.01,998.01,998.01,998.01
Banknifty,06-06-2001,0:00:00,1010.44,1010.44,1010.44,1010.44
Banknifty,07-06-2001,0:00:00,1033.63,1033.63,1033.63,1033.63
Banknifty,08-06-2001,0:00:00,1036.9,1036.9,1036.9,1036.9
Banknifty,11-06-2001,0:00:00,1041.18,1041.18,1041.18,1041.18
Banknifty,12-06-2001,0:00:00,1018.69,1018.69,1018.69,1018.69
Banknifty,13-06-2001,0:00:00,1031.09,1031.09,1031.09,1031.09
Banknifty,14-06-2001,0:00:00,1012.39,1012.39,1012.39,1012.39
Banknifty,15-06-2001,0:00:00,994.41,994.41,994.41,994.41
Banknifty,18-06-2001,0:00:00,978.31,978.31,978.31,978.31
Banknifty,19-06-2001,0:00:00,1008.67,1008.67,1008.67,1008.67
Banknifty,20-06-2001,0:00:00,1022.45,1022.45,1022.45,1022.45
Banknifty,21-06-2001,0:00:00,1028.42,1028.42,1028.42,1028.42
